FxCycle,H3K9ac,Caspase3,H3K14ac,phH3_S10,PAX6,H3K27ac,H3K4me3,Total H3,clusterid
4.3787,5.0094,-0.054572,0.27338,0.19142,2.6424,3.2787,4.9887,0.99234,NPC/G0_G1/H3
4.4878,4.4102,-0.14045,0.17506,0.053789,2.4542,2.9593,4.9264,1.4018,NPC/G0_G1/H3
3.7213,4.0737,-0.2846,0.16933,0.1568,1.8586,3.6189,4.6175,0.6539,NPC/G0_G1/H3
4.3849,4.2075,-0.24852,0.11669,0.03624,1.8684,2.6943,4.488,1.1689,NPC/G0_G1/H3
3.1758,4.8302,-0.012919,-0.0461,0.59529,3.105,4.318,4.529,1.1017,NPC/G0_G1/H3
4.2735,4.692,-0.52979,0.022014,0.32657,3.3178,4.7585,5.5207,2.6852,NPC/G0_G1/H3
4.3407,4.6341,0.4399,0.15053,0.30177,2.9137,4.0896,4.4724,1.4827,NPC/G0_G1/H3
4.236,4.453,-0.0041557,0.19461,0.022846,2.5584,3.9381,5.0241,2.081,NPC/G0_G1/H3
4.194,4.8163,-0.3021,0.25794,0.099594,2.6147,3.9281,5.1588,2.4515,NPC/G0_G1/H3
4.3944,4.6675,-0.21687,0.32104,0.15085,2.4814,3.979,5.0553,1.9144,NPC/G0_G1/H3
4.1961,4.2427,-0.59931,0.32282,0.30592,2.1192,3.5259,5.3754,1.3163,NPC/G0_G1/H3
4.4744,4.4396,-0.13977,0.094089,0.11263,2.1816,3.4916,5.0322,1.5322,NPC/G0_G1/H3
4.0933,4.2257,-0.56872,0.32595,0.25749,1.791,4.1483,5.3598,1.9067,NPC/G0_G1/H3
4.4438,4.2744,-0.1808,0.30756,-0.18431,2.2681,3.0389,4.7618,1.3002,NPC/G0_G1/H3
4.2543,4.6344,0.21064,0.37944,-0.078833,2.584,4.1039,4.9261,1.5405,NPC/G0_G1/H3
4.5,4.2879,-0.18994,0.10996,-0.13067,2.0418,3.5522,4.9483,1.6326,NPC/G0_G1/H3
4.261,4.3791,-0.71077,0.25537,0.29654,2.7484,4.327,5.263,1.6491,NPC/G0_G1/H3
4.1894,4.95,-0.74062,0.54459,0.50628,2.3516,5.3908,5.5695,2.85,NPC/G0_G1/H3
3.9092,3.9396,-0.19454,0.41164,0.18551,2.4151,3.3641,4.8054,1.5439,NPC/G0_G1/H3
4.3943,4.281,-0.61434,0.29342,0.1852,2.1653,3.6016,5.1566,1.7805,NPC/G0_G1/H3
4.4342,4.5168,0.44586,0.25764,-0.14275,2.4992,4.2181,4.8979,0.92133,NPC/G0_G1/H3
4.2348,4.0554,-0.71193,0.06283,0.025918,2.0078,3.0067,4.8982,1.4787,NPC/G0_G1/H3
3.6316,4.3362,-0.38235,0.29628,0.39099,2.2363,4.1955,5.1965,2.2432,NPC/G0_G1/H3
4.1722,4.8696,0.36777,0.43726,0.41759,2.6524,3.9964,5.1174,1.6728,NPC/G0_G1/H3
4.3901,4.1967,0.16124,0.21004,-0.046592,2.4959,3.0162,4.8366,1.3917,NPC/G0_G1/H3
4.5081,4.3973,-0.20558,-0.059608,0.19128,2.2677,3.3794,4.8418,1.2222,NPC/G0_G1/H3
4.4965,5.3263,-0.32187,0.089064,-0.012637,2.8601,4.4136,5.0809,2.5604,NPC/G0_G1/H3
4.2945,4.5948,-0.12141,0.27053,-0.071817,1.6646,4.0627,5.0066,1.0686,NPC/G0_G1/H3
4.1049,4.393,-0.39111,0.23405,0.12413,2.2163,3.2222,5.0348,1.7591,NPC/G0_G1/H3
4.2908,4.4906,-0.081527,0.21564,-0.030064,2.9389,3.9734,5.052,1.3245,NPC/G0_G1/H3
4.1989,3.7371,-0.31033,0.59866,0.31928,1.8716,3.2355,5.071,0.71583,NPC/G0_G1/H3
4.4507,4.3214,1.0341,0.18339,0.14667,2.9751,3.3695,4.899,1.1616,NPC/G0_G1/H3
4.3124,4.3943,-0.32613,0.065523,-0.19865,3.1377,4.1447,4.8088,0.97028,NPC/G0_G1/H3
4.4036,4.6049,0.013049,0.15543,0.041429,2.7728,3.921,4.9149,0.77456,NPC/G0_G1/H3
4.2176,4.5475,-0.55749,0.25709,0.33161,2.3495,3.4915,4.9635,1.2904,NPC/G0_G1/H3
4.4783,4.2215,-0.26678,0.12944,-0.11511,1.9896,3.1917,4.7411,1.0741,NPC/G0_G1/H3
3.7259,4.3517,0.11776,0.29784,0.1933,1.7921,3.4466,4.9423,1.4579,NPC/G0_G1/H3
3.9991,5.2556,0.42449,0.60751,-0.0067774,2.6567,4.2685,4.9545,1.3867,NPC/G0_G1/H3
4.4771,4.6465,-0.48102,0.40714,-0.062918,2.5779,3.7615,4.9326,1.5906,NPC/G0_G1/H3
4.2975,4.4372,-0.020223,0.16274,-0.16373,3.2528,3.7129,4.7371,0.70681,NPC/G0_G1/H3
4.1839,4.1909,-0.39185,0.36087,0.44448,2.2064,3.5378,5.1236,2.6211,NPC/G0_G1/H3
4.4421,4.3857,-0.36469,0.18936,0.19845,2.1993,2.7816,4.8621,1.292,NPC/G0_G1/H3
3.4671,4.2273,0.32079,0.44688,0.26524,2.6071,3.5957,4.8616,1.0227,NPC/G0_G1/H3
4.377,4.4212,-0.068065,0.22176,-0.16835,2.6558,4.1967,5.0165,1.4188,NPC/G0_G1/H3
4.2593,4.2904,-0.21365,0.099469,0.15009,1.9718,2.8311,4.9488,1.3247,NPC/G0_G1/H3
4.3202,4.4591,-0.46969,0.20777,0.25699,2.4424,3.4968,5.0804,1.8156,NPC/G0_G1/H3
4.0784,4.558,-0.0094594,0.31927,-0.085141,2.4283,3.5628,4.7144,1.479,NPC/G0_G1/H3
4.3034,4.2496,-0.26683,0.20218,-0.19287,3.0412,4.3395,5.1856,1.7928,NPC/G0_G1/H3
4.4272,4.5576,-0.27508,0.14966,0.099913,2.2994,3.8479,4.9163,0.92505,NPC/G0_G1/H3
4.1985,3.978,-0.41166,0.18636,0.19159,2.2855,3.7905,5.1058,2.1607,NPC/G0_G1/H3
4.0954,4.5938,-0.11552,0.14337,-0.1314,2.0297,3.4236,4.6345,0.70957,NPC/G0_G1/H3
4.1948,4.5158,0.28401,0.37214,0.11646,1.7933,3.3866,5.1896,1.3379,NPC/G0_G1/H3
4.0479,4.6509,-1.0028,0.13293,0.37643,2.7303,4.1978,5.2437,1.6528,NPC/G0_G1/H3
4.1767,4.1246,-0.54662,0.13296,0.19104,2.2457,2.9709,4.7117,1.404,NPC/G0_G1/H3
4.4617,4.9521,-0.37249,0.18722,0.0022748,2.7456,4.299,5.261,1.8281,NPC/G0_G1/H3
4.2315,4.3254,-0.13894,0.23454,-0.12708,2.9192,4.7476,5.3023,2.4784,NPC/G0_G1/H3
4.5012,4.5722,-0.61915,0.42929,0.48042,2.5509,3.919,5.4661,1.8559,NPC/G0_G1/H3
4.0052,4.7996,0.75859,0.48896,0.13787,2.6729,3.6411,4.9574,1.3057,NPC/G0_G1/H3
