event,H3K9ac,LD,Total H3,gate,treatment
5151,2.778,0.61223,1.0694,H3 Total,SAHA 05 um
5152,2.787,0.29761,0.65539,H3Kac,SAHA 05 um
5155,2.2035,0.52101,1.4846,H3 Total,SAHA 05 um
5156,2.6422,0.63842,1.0673,H3 Total,SAHA 05 um
5160,1.6873,0.80911,1.4011,H3 Total,SAHA 05 um
5161,2.1228,0.60566,1.9464,H3 Total,SAHA 05 um
5163,2.3976,0.92156,1.094,H3 Total,SAHA 05 um
5164,1.8857,0.63922,2.2898,H3 Total,SAHA 05 um
5166,1.825,0.56974,2.0913,H3 Total,SAHA 05 um
5167,3.6386,0.41808,2.3368,H3 Total,SAHA 05 um
5168,3.9132,1.2363,0.67568,H3Kac,SAHA 05 um
5170,2.0339,1.6412,1.591,H3 Total,SAHA 05 um
5171,2.4173,1.0797,1.9427,H3 Total,SAHA 05 um
5172,0.69194,0.45238,1.1391,H3 Total,SAHA 05 um
5173,2.4435,0.81486,1.7918,H3 Total,SAHA 05 um
5175,1.03,1.4235,3.2953,H3 Total,SAHA 05 um
5176,2.9231,1.3908,1.5451,H3 Total,SAHA 05 um
5178,2.1367,0.54019,0.9043,H3Kac,SAHA 05 um
5179,1.1525,0.50344,2.0644,H3 Total,SAHA 05 um
5180,3.9125,1.7446,1.6885,H3 Total,SAHA 05 um
5181,2.3404,1.3919,1.66,H3 Total,SAHA 05 um
5182,1.5789,0.66466,1.8805,H3 Total,SAHA 05 um
5183,3.1537,0.72633,1.2221,H3 Total,SAHA 05 um
5184,2.3491,0.46243,1.5874,H3 Total,SAHA 05 um
5185,3.9128,0.55477,1.2898,H3 Total,SAHA 05 um
5187,1.8807,1.9572,2.4637,H3 Total,SAHA 05 um
5190,2.5047,2.0364,2.1589,H3 Total,SAHA 05 um
5191,2.7562,1.3,1.2989,H3 Total,SAHA 05 um
5192,3.6098,1.0175,0.62218,H3Kac,SAHA 05 um
5193,1.2358,1.8151,1.0708,H3 Total,SAHA 05 um
5194,2.9388,0.43603,2.4412,H3 Total,SAHA 05 um
5195,1.368,0.47285,1.6064,H3 Total,SAHA 05 um
5196,3.3386,1.1899,1.2174,H3 Total,SAHA 05 um
5198,2.3385,0.37359,0.7659,H3Kac,SAHA 05 um
5200,2.0694,1.1002,1.3543,H3 Total,SAHA 05 um
5201,0.85477,0.83322,2.2076,H3 Total,SAHA 05 um
5202,3.519,0.44764,0.94917,H3Kac,SAHA 05 um
5203,1.9629,0.54283,2.262,H3 Total,SAHA 05 um
5204,1.988,0.49701,0.72511,H3Kac,SAHA 05 um
5205,2.0057,0.82358,1.6492,H3 Total,SAHA 05 um
5207,1.4851,1.4174,1.01,H3Kac,SAHA 05 um
5208,2.5535,0.92268,0.74847,H3Kac,SAHA 05 um
5210,1.9632,0.58651,2.5013,H3 Total,SAHA 05 um
5211,2.3781,1.0513,2.2836,H3 Total,SAHA 05 um
5212,1.717,1.2092,2.5042,H3 Total,SAHA 05 um
5213,1.3824,1.0718,1.6152,H3 Total,SAHA 05 um
5214,1.8324,0.40327,1.5253,H3 Total,SAHA 05 um
5215,1.7004,0.35765,2.2293,H3 Total,SAHA 05 um
5216,3.0203,1.2831,1.7169,H3 Total,SAHA 05 um
5217,1.6282,0.55272,1.7023,H3 Total,SAHA 05 um
5219,2.915,0.88953,3.1398,H3 Total,SAHA 05 um
5220,1.7791,0.46859,2.9071,H3 Total,SAHA 05 um
5221,2.1639,0.7541,3.7807,H3 Total,SAHA 05 um
5222,1.5945,0.44276,1.1977,H3 Total,SAHA 05 um
5225,2.8457,0.57709,1.1696,H3 Total,SAHA 05 um
5226,2.5052,0.58948,1.0651,H3 Total,SAHA 05 um
5227,2.9422,0.76826,1.1438,H3 Total,SAHA 05 um
5229,1.3497,0.35563,1.16,H3 Total,SAHA 05 um
5230,2.8584,1.791,1.6003,H3 Total,SAHA 05 um
5231,2.7759,0.7199,1.0817,H3 Total,SAHA 05 um
5232,2.5077,0.68215,1.7413,H3 Total,SAHA 05 um
5233,1.8274,0.88305,2.1157,H3 Total,SAHA 05 um
5234,2.745,1.1786,1.7918,H3 Total,SAHA 05 um
5235,1.8988,0.38129,0.81118,H3Kac,SAHA 05 um
5236,2.3231,0.80995,2.0609,H3 Total,SAHA 05 um
5237,1.9257,0.58904,1.3302,H3 Total,SAHA 05 um
5238,0.58543,2.0436,0.26273,H3Kac,SAHA 05 um
5239,2.8512,1.6365,2.4824,H3 Total,SAHA 05 um
5240,1.6869,0.43224,2.1842,H3 Total,SAHA 05 um
5241,2.3295,0.41267,2.2987,H3 Total,SAHA 05 um
5242,1.53,1.2123,3.0535,H3 Total,SAHA 05 um
5243,1.04,0.37636,0.86948,H3Kac,SAHA 05 um
5245,2.4751,1.7233,1.5874,H3 Total,SAHA 05 um
5246,0.99906,0.46152,2.401,H3 Total,SAHA 05 um
5247,1.0372,0.43241,0.89795,H3Kac,SAHA 05 um
5248,3.0408,0.62631,0.46939,H3Kac,SAHA 05 um
5250,1.4306,0.64775,0.16171,H3Kac,SAHA 05 um
5251,1.4853,1.1047,1.0658,H3 Total,SAHA 05 um
5252,2.9445,1.7898,1.3377,H3 Total,SAHA 05 um
5253,1.0352,0.89674,1.7703,H3 Total,SAHA 05 um
5254,2.3925,1.9564,1.0104,H3Kac,SAHA 05 um
5255,0.44477,1.7811,1.6837,H3 Total,SAHA 05 um
5256,1.5571,0.85625,3.0223,H3 Total,SAHA 05 um
5257,2.3093,0.49014,1.5547,H3 Total,SAHA 05 um
5259,2.2384,1.6491,1.0278,H3 Total,SAHA 05 um
5260,1.7827,1.9198,0.85138,H3Kac,SAHA 05 um
5265,1.8026,0.47807,1.9174,H3 Total,SAHA 05 um
5266,3.7541,1.6453,1.2705,H3 Total,SAHA 05 um
5267,3.9134,1.7136,1.366,H3 Total,SAHA 05 um
5269,1.4966,0.57885,2.7643,H3 Total,SAHA 05 um
5270,1.0433,1.2306,0.88983,H3Kac,SAHA 05 um
5272,1.9401,1.073,1.3012,H3 Total,SAHA 05 um
5273,2.9149,0.49225,3.0277,H3 Total,SAHA 05 um
5279,1.981,0.4202,2.3821,H3 Total,SAHA 05 um
5280,1.6524,0.41808,2.6668,H3 Total,SAHA 05 um
5281,1.7032,1.768,0.22123,H3Kac,SAHA 05 um
5286,0.84286,1.7928,0.54681,H3Kac,SAHA 05 um
5287,2.9989,0.45795,0.80161,H3Kac,SAHA 05 um
5288,2.1441,0.8387,0.98775,H3Kac,SAHA 05 um
5289,2.7021,1.7877,1.1942,H3 Total,SAHA 05 um
5292,2.7127,0.63961,2.6594,H3 Total,SAHA 05 um
5293,0.41819,0.45405,1.9807,H3 Total,SAHA 05 um
5294,2.0336,0.98956,1.6948,H3 Total,SAHA 05 um
5296,2.2362,0.54513,2.4031,H3 Total,SAHA 05 um
5297,2.636,1.2402,1.0318,H3 Total,SAHA 05 um
5299,0.82432,0.41842,1.3808,H3 Total,SAHA 05 um
5300,2.8328,1.6595,1.4198,H3 Total,SAHA 05 um
5301,1.8415,1.1193,1.281,H3 Total,SAHA 05 um
5302,0.87417,0.74163,0.91667,H3Kac,SAHA 05 um
5303,1.7053,0.63771,1.6585,H3 Total,SAHA 05 um
5304,2.6688,0.37636,0.79825,H3Kac,SAHA 05 um
5305,2.787,0.45012,3.2408,H3 Total,SAHA 05 um
5306,3.259,1.4745,1.1572,H3 Total,SAHA 05 um
5309,0.78744,1.5156,0.6966,H3Kac,SAHA 05 um
5310,2.2058,0.59877,1.7877,H3 Total,SAHA 05 um
5311,0.94954,0.73237,0.9128,H3Kac,SAHA 05 um
5315,1.5559,0.4015,1.0678,H3 Total,SAHA 05 um
5317,2.6162,0.87323,1.0133,H3 Total,SAHA 05 um
5318,1.42,0.31759,0.47658,H3Kac,SAHA 05 um
5319,2.0758,1.1949,1.6904,H3 Total,SAHA 05 um
5320,2.2243,0.45417,0.93098,H3Kac,SAHA 05 um
5321,1.5292,0.68057,2.8868,H3 Total,SAHA 05 um
5322,1.7006,0.33828,1.0592,H3 Total,SAHA 05 um
5323,1.2099,0.54158,1.0005,H3Kac,SAHA 05 um
5325,2.4776,0.97166,0.82016,H3Kac,SAHA 05 um
5326,2.7715,0.50286,1.1837,H3 Total,SAHA 05 um
5327,2.9566,0.35209,0.79853,H3Kac,SAHA 05 um
5328,2.6338,0.43459,2.5511,H3 Total,SAHA 05 um
5330,3.4267,0.57541,2.2543,H3 Total,SAHA 05 um
5331,2.1792,0.59772,1.6114,H3 Total,SAHA 05 um
5335,2.0633,0.78887,1.0431,H3 Total,SAHA 05 um
5336,1.924,0.56032,1.9662,H3 Total,SAHA 05 um
5337,2.7962,1.7133,1.5127,H3 Total,SAHA 05 um
5338,0.32559,1.5158,1.9291,H3 Total,SAHA 05 um
5339,1.4817,0.71886,2.3508,H3 Total,SAHA 05 um
5340,1.6729,0.77326,3.1857,H3 Total,SAHA 05 um
5341,2.8191,0.74287,1.1162,H3 Total,SAHA 05 um
5342,2.5659,1.3985,0.9042,H3Kac,SAHA 05 um
5345,3.8341,1.5056,1.2773,H3 Total,SAHA 05 um
5346,2.108,0.66319,0.75168,H3Kac,SAHA 05 um
5347,2.5865,0.74314,1.4716,H3 Total,SAHA 05 um
5348,2.3486,1.7467,1.0044,H3Kac,SAHA 05 um
5350,1.7879,0.54913,2.6903,H3 Total,SAHA 05 um
5351,3.2137,0.69465,1.8128,H3 Total,SAHA 05 um
5353,0.9457,0.55946,1.9383,H3 Total,SAHA 05 um
5355,0.72701,0.30743,0.69965,H3Kac,SAHA 05 um
5360,1.1161,0.55732,2.2238,H3 Total,SAHA 05 um
5361,0.81953,0.64919,1.8494,H3 Total,SAHA 05 um
5362,0.58529,0.44095,1.4479,H3 Total,SAHA 05 um
5363,2.9435,1.1089,0.81788,H3Kac,SAHA 05 um
5364,3.2243,1.8857,1.5445,H3 Total,SAHA 05 um
5365,1.8649,0.38721,0.87858,H3Kac,SAHA 05 um
5366,3.1134,0.83928,0.97789,H3Kac,SAHA 05 um
5367,1.7598,0.38514,0.86998,H3Kac,SAHA 05 um
5371,2.3304,1.9069,0.83572,H3Kac,SAHA 05 um
5373,2.9057,0.41658,1.3469,H3 Total,SAHA 05 um
5374,1.6987,0.34968,1.3681,H3 Total,SAHA 05 um
5375,2.1402,0.52723,1.0783,H3 Total,SAHA 05 um
5376,2.6273,0.30592,1.7643,H3 Total,SAHA 05 um
5377,1.7302,0.41102,1.0294,H3 Total,SAHA 05 um
5379,2.9272,0.76563,0.98085,H3Kac,SAHA 05 um
5380,2.9583,1.3941,3.6628,H3 Total,SAHA 05 um
5381,1.4235,0.62819,2.1246,H3 Total,SAHA 05 um
5382,3.0188,0.43551,1.1489,H3 Total,SAHA 05 um
5383,3.3822,0.42779,0.80021,H3Kac,SAHA 05 um
5386,1.9882,0.5809,0.73898,H3Kac,SAHA 05 um
5387,1.728,0.49276,1.544,H3 Total,SAHA 05 um
5388,1.9226,0.33323,0.75778,H3Kac,SAHA 05 um
5389,1.1403,0.45423,1.3501,H3 Total,SAHA 05 um
5391,2.126,1.6774,1.3914,H3 Total,SAHA 05 um
5392,1.9398,0.34466,1.249,H3 Total,SAHA 05 um
5393,1.9858,0.53316,2.5232,H3 Total,SAHA 05 um
5394,2.2362,1.2676,0.64879,H3Kac,SAHA 05 um
5395,3.2063,0.96504,1.14,H3 Total,SAHA 05 um
5397,2.6602,0.3233,1.793,H3 Total,SAHA 05 um
5398,1.4691,0.59952,2.7058,H3 Total,SAHA 05 um
5399,3.7669,1.851,1.7199,H3 Total,SAHA 05 um
5400,1.9516,0.60901,0.88534,H3Kac,SAHA 05 um
5404,2.2377,0.19082,0.92033,H3Kac,SAHA 05 um
5406,1.1308,0.43018,3.3278,H3 Total,SAHA 05 um
5407,0.23884,1.1325,2.1134,H3 Total,SAHA 05 um
5408,1.7024,1.6624,3.2418,H3 Total,SAHA 05 um
5409,0.85216,0.61384,3.2755,H3 Total,SAHA 05 um
5410,3.4352,1.5154,2.3425,H3 Total,SAHA 05 um
5411,2.194,1.6663,1.1643,H3 Total,SAHA 05 um
5412,1.0739,0.47958,1.3415,H3 Total,SAHA 05 um
5413,2.0788,0.40841,0.88743,H3Kac,SAHA 05 um
5414,2.6424,0.36915,0.7192,H3Kac,SAHA 05 um
5415,3.9133,1.0697,2.0489,H3 Total,SAHA 05 um
5416,2.2722,0.87412,1.4413,H3 Total,SAHA 05 um
5417,2.9872,1.2697,1.5449,H3 Total,SAHA 05 um
5418,2.2617,0.43875,2.2247,H3 Total,SAHA 05 um
5419,1.4664,0.44235,2.4587,H3 Total,SAHA 05 um
5420,1.1545,0.47757,0.73783,H3Kac,SAHA 05 um
5421,1.2307,0.52607,1.1507,H3 Total,SAHA 05 um
5422,1.5845,0.61062,2.2527,H3 Total,SAHA 05 um
5425,1.7004,0.59187,1.325,H3 Total,SAHA 05 um
5426,1.2533,0.511,2.6701,H3 Total,SAHA 05 um
5427,1.8706,1.834,1.7062,H3 Total,SAHA 05 um
5429,0.68905,0.21194,0.34312,H3Kac,SAHA 05 um
5431,1.5073,0.38426,0.86565,H3Kac,SAHA 05 um
5432,1.4171,0.40112,0.77655,H3Kac,SAHA 05 um
5433,2.2048,0.49148,1.3785,H3 Total,SAHA 05 um
5435,2.0235,1.7605,0.86584,H3Kac,SAHA 05 um
5436,2.5963,0.34062,0.86094,H3Kac,SAHA 05 um
5438,1.5404,0.57863,1.3412,H3 Total,SAHA 05 um
5439,1.6346,0.56692,1.0837,H3 Total,SAHA 05 um
5441,2.1749,1.3001,1.4272,H3 Total,SAHA 05 um
5442,0.03377,1.7364,3.2224,H3 Total,SAHA 05 um
5443,1.9039,1.1184,1.3803,H3 Total,SAHA 05 um
5444,2.7888,0.54821,0.88196,H3Kac,SAHA 05 um
5446,2.896,1.8382,1.7525,H3 Total,SAHA 05 um
5447,2.3182,0.40505,1.0635,H3 Total,SAHA 05 um
5448,2.7712,0.33791,0.79128,H3Kac,SAHA 05 um
5450,2.507,1.0304,1.0653,H3 Total,SAHA 05 um
5451,1.2211,0.44799,2.3586,H3 Total,SAHA 05 um
5452,1.1181,1.8414,1.0768,H3 Total,SAHA 05 um
