event,mfi,gate,OmiqFileIndex,genotype,feature
2998,0.83957,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3016,0.84672,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3029,0.55152,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3050,0.6027,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3078,0.7442,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3091,0.64823,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3103,0.8158,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3149,0.66785,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3182,2.1177,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3207,0.6084,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3218,1.1181,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3252,0.78823,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3271,0.80741,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3294,0.66728,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3309,0.45873,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3331,0.71238,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3345,0.54075,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3360,0.60756,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3379,0.93427,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3416,0.47826,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3444,0.42626,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3471,0.44323,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3507,0.54674,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3536,1.1811,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3561,0.56699,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3574,0.80798,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3590,0.738,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3610,0.43195,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3626,0.99787,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3649,0.44002,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3680,0.42457,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3701,0.56829,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3724,0.64847,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3752,0.5386,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3781,1.1079,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3802,0.60711,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3817,0.74535,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3844,0.52729,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3884,0.70604,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3894,0.43539,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3911,0.58637,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3928,0.39638,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
3977,0.4413,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4033,0.49347,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4049,0.48417,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4082,0.44101,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4091,0.4814,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4113,0.50305,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4140,0.50006,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4156,0.62764,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4170,1.1615,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4218,0.66793,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4264,0.584,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
4284,0.7861,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
